wave,line
7799.744,7.13E-04
7799.838,7.13E-04
7801.512,1.13E-03
7801.995,1.13E-03
7810.028,2.14E-02
7810.036,2.14E-02
7810.581,2.73E+00
7810.65,2.73E+00
7814.875,1.54E-01
7815.119,1.54E-01
7816.718,1.64E-12
7816.984,9.82E-06
7817.625,0.00E+00
7817.937,1.64E-12
7818.005,9.82E-06
7818.207,0.00E+00
7819.478,0.00E+00
7820.421,0.00E+00
7821.436,1.48E-05
7823.12,1.48E-05
7823.578,7.95E+00
7823.732,7.95E+00
7830.396,1.07E-04
7830.438,3.55E-03
7830.573,1.07E-04
7830.938,3.55E-03
7832.279,1.66E-04
7832.903,1.66E-04
7835.539,5.79E-03
7836.412,5.79E-03
7836.414,6.92E-03
7836.457,6.92E-03
7841.225,4.22E-02
7841.572,4.22E-02
7843.411,2.45E+00
7843.436,2.45E+00
7851.28,3.02E-01
7851.333,3.02E-01
7851.848,1.04E+00
7851.921,1.04E+00
7852.639,1.63E-01
7852.732,1.63E-01
7854.118,6.77E-02
7854.139,6.77E-02
7854.428,5.23E-01
7854.509,5.23E-01
7854.656,3.92E-02
7854.75,3.92E-02
7855.393,6.24E+00
7855.648,6.24E+00
7855.726,2.73E+00
7855.804,2.73E+00
7860.128,1.25E+00
7860.183,1.25E+00
7860.417,1.21E-02
7860.421,7.30E-03
7860.44,1.21E-02
7860.501,7.30E-03
7862.785,5.25E+00
7862.856,5.25E+00
7865,0.00E+00
7865.686,0.00E+00
7866.148,1.36E-05
7866.425,1.36E-05
7866.743,0.00E+00
7867.51,1.83E-03
7867.619,1.83E-03
7867.818,0.00E+00
7868.094,2.05E-05
7868.878,2.05E-05
7869.888,2.15E+00
7869.902,2.15E+00
7869.911,1.07E-03
7869.967,1.07E-03
7870.234,1.72E-03
7870.312,1.72E-03
7872.188,9.56E-03
7872.653,9.56E-03
7872.871,6.31E+00
7872.921,6.31E+00
7880.929,1.64E+00
7880.971,1.64E+00
7883.132,1.26E-04
7883.152,1.26E-04
7883.212,4.75E-04
7883.654,1.94E-04
7883.799,1.94E-04
7883.83,4.75E-04
7883.834,2.29E+00
7883.867,2.29E+00
7887.753,6.25E-04
7888.774,6.25E-04
7891.55,9.56E-07
7891.834,3.74E+00
7892.209,3.74E+00
7892.755,9.56E-07
7895.689,1.41E-06
7897.623,1.41E-06
7900.082,1.16E-05
7900.108,1.16E-05
7900.742,1.74E-05
7900.963,1.74E-05
7903.409,4.14E-04
7903.599,4.14E-04
7907.177,1.45E-06
7907.569,1.45E-06
7907.903,1.93E-03
7908.503,1.93E-03
7909.15,2.14E-06
